Metric,Fresh Water (Low EC),Salty Water (High EC),Baseline (Medium EC),Units
Resistance,150000,50,10000,Ω
Damping Ratio (ζ),136930.639376292,45.6435464587638,9128.70929175277,-
Quality Factor (Q),3.65148371670111e-06,0.0109544511501033,5.47722557505166e-05,-
Damping Type,OVERDAMPED,OVERDAMPED,OVERDAMPED,-
Time Constant (τ),4e-08,0.00012,6e-07,ms
Rise Time,0,0,0,ms
Settling Time,NaN,NaN,NaN,ms
Overshoot,Inf,Inf,Inf,%
Peak Value,6.6660526724289e-06,0.0199806989113833,9.99907906837116e-05,-
Peak Time,0.138155105577755,0.000552554099908248,0.00921034034434496,ms
